date,month,day,quart,top10gross,num1gross,num_releases,num1
2021-12-31,Dec,Fri,4,27601787,15407695,25,Spider-Man: No Way Home
2021-12-30,Dec,Thu,4,35021475,20717908,26,Spider-Man: No Way Home
2021-12-29,Dec,Wed,4,34092399,20327774,26,Spider-Man: No Way Home
2021-12-28,Dec,Tue,4,36104760,21346817,25,Spider-Man: No Way Home
2021-12-27,Dec,Mon,4,39209841,24770593,25,Spider-Man: No Way Home
2021-12-26,Dec,Sun,4,52943454,33283250,27,Spider-Man: No Way Home
2021-12-25,Dec,Sat,4,56478703,31609749,26,Spider-Man: No Way Home
2021-12-24,Dec,Fri,4,31087749,19655506,24,Spider-Man: No Way Home
2021-12-23,Dec,Thu,4,45018844,29333622,28,Spider-Man: No Way Home
2021-12-22,Dec,Wed,4,47249638,27846311,29,Spider-Man: No Way Home
2021-12-21,Dec,Tue,4,35610501,31408657,26,Spider-Man: No Way Home
2021-12-20,Dec,Mon,4,40865953,37138318,27,Spider-Man: No Way Home
2021-12-19,Dec,Sun,4,70605790,64232578,29,Spider-Man: No Way Home
2021-12-18,Dec,Sat,4,82033791,73941279,29,Spider-Man: No Way Home
2021-12-17,Dec,Fri,4,128026878,121964712,29,Spider-Man: No Way Home
2021-12-16,Dec,Thu,4,2633738,734586,32,Encanto
2021-12-15,Dec,Wed,4,3586725,968259,32,West Side Story
2021-12-14,Dec,Tue,4,4482456,1303008,33,West Side Story
2021-12-13,Dec,Mon,4,3512281,1015089,33,West Side Story
2021-12-12,Dec,Sun,4,11619341,3190574,34,Encanto
2021-12-11,Dec,Sat,4,17318645,4514674,34,Encanto
2021-12-10,Dec,Fri,4,11827462,4133219,34,West Side Story
2021-12-09,Dec,Thu,4,3918876,808467,33,Encanto
2021-12-08,Dec,Wed,4,4115450,840976,33,Encanto
2021-12-07,Dec,Tue,4,5014047,1115755,33,Encanto
2021-12-06,Dec,Mon,4,3983231,786598,33,Encanto
2021-12-05,Dec,Sun,4,14319631,4261705,34,Encanto
2021-12-04,Dec,Sat,4,20594785,5816182,34,Encanto
2021-12-03,Dec,Fri,4,12585904,3069731,34,Encanto
2021-12-02,Dec,Thu,4,6692578,2200000,30,Christmas with the Chosen: The Messengers
2021-12-01,Dec,Wed,4,7242975,2700000,31,Christmas with the Chosen: The Messengers
2021-11-30,Nov,Tue,4,6360147,1487659,30,House of Gucci
2021-11-29,Nov,Mon,4,5090601,1184398,30,Encanto
2021-11-28,Nov,Sun,4,20849510,6350371,33,Encanto
2021-11-27,Nov,Sat,4,34854917,9780990,33,Encanto
2021-11-26,Nov,Fri,4,37020099,11075133,34,Encanto
2021-11-25,Nov,Thu,4,19817511,5807558,33,Encanto
